
Indicatif présent
Premier groupe

abiter
P6	desirroient (4), desiroient (1)

despire
P3	despisoit (1), desrompoit (1)
P6	despisoient (2), despiroient (1)

desplaire
P3	despleüst (1), desplaisoit (1)

destreindre
P3	destreignoit (5), destraignoit (2)

destruire
P3	destruisoit (2)

devenir
P6	devenoient (1)

deviser
P6	devisoient (1)

devoir
P3	devoit (44)
P4	devions (2)
P6	devoient (23)

devorer
P6	devoroient (1)

dire
P1	disoie (2)
P3	disoit (75)
P4	disions (1)
P6	disoient (29)

doctriner
P3	doctrinoit (2)

doloser
P6	dolousoient (1)

doner
P3	donoit (13)
P6	donoient (2)

dormir
P3	dormoit (5)
P6	dormoient (2)

doter1
P6	doutoient (1)

doter2
P3	doutoit (1)
P6	dotoient (3), doutoient (1)

durer
P3	duroit (2)

embler
P3	embloit (1)

emporter2
P6	emportoient (4)

encenser2
P3	encensoit (1)

encontrer
P6	encontroient (1)

enföir1
P3	enfuioit (1)

enluminer
P3	enluminast (1)

enmener
P3	enmenoit (2)
P6	enmenoient (1)

enoiier
P3	anuioit (1)

enseignier
P1	ensegnoie (1)
P3	ensignoit (3), enseignoit (1), ensegnoit (1)

ensivre1
P3	ensivissent (1), ensignoit (1), ensivoit (1)
P5	ensivimes (1)
P6	ensivoient (1)

entendre
P3	entendoit (13)
P6	entendoient (2)

entraire
P6	entraioient (1)

entremetre
P3	entremetoit (1)

entrer
P3	entroit (1)
P6	entroient (1)

envoiier
P3	envoioit (4), envooit (1)
P5	envoiastes (1)
P6	envoieroient (1), envoioient (1)

esbäir
P3	esbahissoit (1)
P6	esbahissoient (2)

eschaufer
P3	eschaufoit (1)

eschiver
P3	eschivoit (2)

escomeniier
P3	escomenioit (1)

escondire
P3	escondissoit (1)

escouter
P3	escoutoit (2)
P6	escoutoient (4)

esforcier2
P3	efforçoit (1)

esgarder
P3	esgardoient (2)
P6	esgardoient (4)

esjöir
P3	esjoïssoit (1)
P6	esjoïssoient (2)

eslëecier
P3	esleeçoit (2)
P6	esleeçoient (3)

esmerveillier
P1	esmerveilloie (1)
P3	esmervelloit (1)
P6	esmervelloient (2), esmerveilloient (1)

esmovoir
P3	esmovoit (1)
P6	escommovoient (1)

espargnier
P3	espargnoit (1)

espartir
P2	espart (1)

espöenter
P3	emportoit (1)

essaiier
P3	essaioit (1)

establir
P3	establissoit (1)

estendre
P3	estendoit (1)

ester
P2	estoiez (2)

estovoir1
P3	estuet (1)

estre1
P1	estoie (8)
P2	estoies (2)
P3	estoit (870), ert (24), iert (2)
P4	estions (14)
P6	estoient (347), erent (18)

faire
P2	fesoies (1)
P3	fesoit (29), faisoit (16), feisoit (2), faissoit (1)
P4	fesions (1), faisions (1)
P6	fesoient (17), faisoient (8), feisoient (2), faissoient (2)

ferir
P3	feroit (3)

finer
P3	finoit (1)

flaire
P6	flairoient (1)

floter
P6	flotoient (1)

forsener
P6	forsenoient (1)

fuir
P3	fuioit (2), enfuioit (1)
P6	enfuioient (1), fuioient (1)

fïer
P6	fioient (1)

gaber
P6	gaboient (1)

gaitier
P3	guetoit (2), guaitoit (1)
P6	gaitoient (2), guetoient (1)

garder
P3	gardoit (5)
P4	gardissons (1), gardions (1)
P6	gardoient (8)

garir
P3	guerissoit (1)

garnir
P3	garnissoit (1)

gaster
P2	gastoit (1)

gemir
P3	gemissoit (1)
P6	jemissoient (1)

gerir
P3	guerissoient (1)
P6	guerissoient (4)

geter
P6	getoient (1)

glorefiier
P3	gloirefioit (1)

goster
P3	gostoit (1)

governer
P3	governoit (1)

grever
P3	grevoit (2)
P6	grevoient (1)

huchier1
P3	huçoit (2)
P6	huçoient (1)

hurter
P3	hurtoit (1)

häir
P3	haoit (3)
P6	haoient (2)

issir
P3	issoit (10), issist (1)
P6	issoient (3)

jesir
P3	gisoit (28)
P6	gisoient (3)

jeter
P3	gietast (1)
P6	getoient (1)

justicier2
P3	justiçoit (1)

jëuner
P3	jeunoit (1)
P6	jeunoient (1)

laborer
P6	laboroient (1)

laidengier
P3	laidengoit (2)
P6	leidengoient (1)

laissier
P3	lessoit (4)
P4	lessions (1)
P6	lessoient (2), leissoient (1)

lancier3
P6	lançoient (1)

laver
P3	lavoit (2)
P6	lavoient (1)

lechier
P3	lechoit (1)
