chëoir	75	chaoit	1	cheoient	1	cheoir	35	chercha	1	cheï	20	cheïr	2	cheïrent	9	cheïst	1	cheüe	3	cheüs	2																																																																																																						
coillir	2	cuelli	1	cuellies	1																																																																																																																						
conoistre	61	Conoissiez	1	coneü	3	coneüe	2	coneües	1	coneüs	1	coneüssent	2	coneüst	1	coneüz	2	conissoient	1	conisteroiz	1	conneü	1	conneües	1	conneüssent	1	connissoit	1	connoistre	1	connurent	1	conois	2	conoisse	2	conoissent	4	conoissoient	2	conoissoit	9	conoissons	2	conoist	2	conoisteront	1	conoistre	7	conui	1	conurent	4	conut	3	counut	1																																																																
croire	94	creanz	1	creez	4	creoient	8	creoit	4	creons	7	creroies	1	creü	1	creües	1	creüssent	2	croi	13	croient	6	croira	3	croirai	1	croire	25	croirons	1	croit	1	croiz	1	crui	2	crurent	2	crut	10																																																																																		
croistre	12	crasse	1	cremor	1	creüe	2	creüs	1	croissoient	1	croistre	3	crurent	1	curez	2																																																																																																										
croiz	25	Croiz	7	croiz	17	crucis	1																																																																																																																				
decevoir	20	decevoies	1	decevoir	2	deceü	3	deceüe	1	deceües	1	deceüs	1	deceüz	3	deçoivre	8																																																																																																										
despoillier	2	despoillera	1	despoulle	1																																																																																																																						
devoir	169	deuïst	1	deveroient	1	deveroies	1	deveroit	3	devez	2	devions	2	devoient	23	devoit	44	devons	4	devroient	2	devroit	2	deümes	1	deüsse	1	deüst	12	doi	1	doie	4	doiomes	1	doit	46	doivent	8	doiz	3	durent	2	dut	5																																																																														
doloir	5	dolant	1	dolanz	1	doloir	1	doloser	1	dolut	1																																																																																																																
enchëoir	1	encheüs	1																																																																																																																								
enoiier	9	anoier	1	anuiassent	1	anuier	1	anuiez	1	anuioit	1	enmeine	1	ennuiez	2	enoinz	1																																																																																																										
enoios	1	annieuse	1																																																																																																																								
enorgoillir	2	enorguellist	1	orguelli	1																																																																																																																						
entrevëoir	1	entrevirent	1																																																																																																																								
esloignier	5	esloigniez	1	esloignié	1	esloingna	1	eslongent	1	eslongiés	1																																																																																																																
esmovoir	20	escommovoient	1	esmeüe	1	esmeüz	7	esmovoir	1	esmovoit	1	esmurent	5	esmut	4																																																																																																												
estovoir	1	estut	1																																																																																																																								
estovoir1	2	esteüst	1	estuet	1																																																																																																																						
foie2	77	feiz	1	foie	6	foies	1	fois	1	foiz	66	foïe	2																																																																																																														
genoil	4	genous	1	genouz	1	jenous	2																																																																																																																				
joios	5	joieus	2	joieuse	2	joïeus	1																																																																																																																				
loi3	31	loi	1	lois	2	loy	28																																																																																																																				
lointain	10	lointaignes	1	lointaine	1	lontaignes	1	lontaine	1	lontaines	2	lonteignes	3	lonteines	1																																																																																																												
loisir1	3	loist	1	lut	2																																																																																																																						
manoir1	22	manoient	8	manoir	3	manoit	10	mes	1																																																																																																																		
memoire	5	memoire	4	memorie	1																																																																																																																						
mescroire	5	mescreanz	1	mescreoit	1	mescroie	1	mescroire	2																																																																																																																		
moillier1	1	mollie	1																																																																																																																								
moinet1	1	moniot	1																																																																																																																								
moins	10	meins	7	meinz	2	mendres	1																																																																																																																				
moinsné	1	meinsnez	1																																																																																																																								
movoir	41	meümes	3	meüs	1	meüssent	3	meüst	1	meüte	1	meüz	2	mouvoir	2	moveroient	1	movoient	1	movoir	14	movoit	4	murent	3	mut	5																																																																																																
nonsavoir	1	nonsachanz	1																																																																																																																								
oier	17	oïes	2	oïr	15																																																																																																																						
orgoillir	2	orgueilli	1	orguellesissent	1																																																																																																																						
orgoillos	4	orgueilleus	1	orguilleus	3																																																																																																																						
orgoillosement	1	orguelleusement	1																																																																																																																								
