Graphie du mot Dieu
Lemme : dieu	195
Deu	112
Dex	79
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	142
leu	95
leus	26
liu	13
lius	4
lieu	3
lieus	1

§10 Réduction de e ouvert libre en i
conmencier	1
conmencierent	25
conmencié	2
conmença	44
conmençames	2
conmençast	1
coumence	6
coumencierent	2
coumença	15
coumençoit	1

Lemme :conter	183
contant	2
conterent	5

Lemme :corir	55
courant	1
corurent	14

Lemme :covenir	39
coumanda	1
convient	1
couvient	1
covendra	3
covendroit	6
covenist	2
covenoient	1
covenoit	8
covient	12

Lemme :croire	94
creanz	1
creoient	8
creüssent	2
croient	6
crurent	2

Lemme :crïer2	42
criant	2
crierent	2
crioient	8

Lemme :defaille1	1
defaillance	1

Lemme :demener	48
demenant	1
demeinent	3
demena	2
demenant	1
demenee	7
demener	7
demenerent	6
demenez	2
demenoient	11
demenoit	9

Lemme :descendre	15
descendant	1
descendant	1
descendi	1
descendirent	1
descendissent	1
descendoient	3
descendoit	1
descendre	3
descenduz	1
descent	1
desfendera	1
desfendu	1

Lemme :dire	955
disant	3
deïssent	2
dient	5
diroient	1
disoient	29
distrent	72
rendi	1

Lemme :doloir	5
dolant	1
dolanz	1

Lemme :dormir	15
dormant	1
dormoient	2

Lemme :en2	696
an	1
en	690
ent	2

Lemme :enemi	27
anemi	3
anemis	3
enemi	4
enemis	15

Lemme :enoiier	9
anoier	1
anuiassent	1
anuier	1
anuiez	1
anuioit	1
anuiassent	1
enmeine	1
ennuiez	2
enoinz	1

Lemme :enoios	1
annieuse	1

Lemme :enseignier	51
enseignant	1
ensegnast	1
ensegnerai	1
ensegnier	1
ensegnoie	1
ensegnoit	1
enseigna	1
enseignant	1
enseignasces	1
enseignast	3
enseigne	1
enseignent	1
enseignes	1
enseignie	1
enseignierent	1
enseigniez	1
enseignié	2
enseignoit	1
ensigna	4
ensignai	1
ensignast	2
ensignier	4
ensigniez	13
ensignié	4
ensignoit	3

Lemme :ensemble	252
ensanble	2
ensamble	210
ensanble	2
ensemble	39

Lemme :ensembler	1
anssamblé	1

Lemme :entendre	114
entendans	1
entendans	1
entendent	4
entenderoit	1
entenderons	1
entendez	14
entendi	20
entendie	1
entendirent	3
entendissent	1
entendist	5
entendoient	2
entendoit	13
entendre	30
entendu	3
entendue	4
entendus	1
entens	2
entent	7
entenz	1

Lemme :enui	4
anui	3
anuiz	1

Lemme :errement	8
erranment	8
erranment	8

Lemme :errer2	5
errant	3
errerent	1

Lemme :eslëecier	18
esleeçanz	1
esleecierent	2
esleeçassent	1
esleeçoient	3

Lemme :ester	16
estant	4

Lemme :estoper	2
estopanz	1

Lemme :estre1	2953
estant	3
erent	18
estoient	347
furent	130
fussent	36
seroient	2
soient	14

Lemme :faire	991
faisant	2
fesant	2
facent	2
faisoient	8
faissoient	2
feisoient	2
feroient	10
fesoient	17
feïssent	13
firent	51
fissent	1

Lemme :flairier2	1
flairanz	1

Lemme :frenge	1
frange	1

Lemme :fuir	22
fuiant	1
enfoïrent	1
enfuioient	1
enfuioit	1
fouissent	1
foïssent	1
fuioient	1

Lemme :graciier	5
graciant	2

Lemme :haste1	2
hanstes	1

Lemme :jesir	64
gisant	2
gissant	1
gisoient	3
jurent	1

Lemme :jöir	3
joianz	1
joïssanz	1

Lemme :löer1	27
loant	5
loerent	8
looient	2

Lemme :menacier	2
manace	1
manaces	1

Lemme :mescroire	5
mescreanz	1

Lemme :müir2	2
muiant	2

Lemme :nagier	3
nagant	1
najoient	1

Lemme :nonsavoir	1
nonsachanz	1

Lemme :ofrende	3
offrandes	2
offrendes	1

Lemme :parler	153
parlant	1
parlassent	2
