;C1;C2;C3;D;E2;F2;G1;M1;N1
526;1;1;1;1;1;1;0;1;1
527;1;1;1;1;1;1;0;0;0
528;1;1;1;1;1;0;1;1;1
529;1;1;1;1;1;0;1;1;1
530;1;1;1;1;1;2;1;1;1
531;1;1;1;1;1;2;1;1;1
532;1;1;1;1;1;2;1;1;1
533;1;1;1;1;1;1;2;3;3
534;1;1;1;1;1;1;0;1;1
535;1;1;1;1;1;1;1;2;1
536;1;1;1;1;1;2;1;1;1
537;1;1;1;1;1;0;1;1;1
538;1;1;1;1;1;0;1;1;1
539;1;1;1;1;1;NA;2;2;2
540;1;1;1;1;1;1;1;2;1
541;1;1;1;1;2;2;2;3;3
542;1;1;1;1;1;0;1;1;1
543;1;1;1;1;1;2;2;1;1
544;1;1;1;1;1;0;3;4;1
545;1;1;1;1;1;2;1;1;1
546;1;1;1;1;1;NA;2;1;1
547;1;1;1;0;0;NA;1;1;1
548;1;1;1;1;1;1;2;1;1
549;1;1;1;2;2;2;2;3;2
550;1;1;1;1;1;1;1;2;2
551;1;1;1;1;1;2;3;2;4
552;1;2;1;3;0;NA;NA;NA;NA
553;1;2;2;2;2;2;2;2;2
554;1;1;1;1;1;0;1;1;1
555;1;1;1;1;1;0;1;0;0
556;1;1;1;1;0;1;0;0;0
557;1;1;1;1;1;1;0;1;1
558;1;1;1;1;1;0;NA;1;1
559;1;1;1;1;1;1;2;3;1
560;1;1;1;1;1;2;1;1;3
561;1;1;1;1;1;2;1;1;1
562;1;1;1;1;1;1;1;0;0
563;1;1;1;1;2;1;1;1;1
564;1;1;1;1;NA;1;1;2;2
565;1;1;1;2;2;1;2;3;3
566;1;1;1;1;1;1;2;1;1
567;1;1;1;1;1;1;2;3;2
568;1;1;1;1;1;2;1;1;1
569;1;1;1;1;2;1;1;1;1
570;1;1;1;1;1;1;0;1;1
571;1;1;1;1;0;1;1;1;1
572;1;1;1;1;1;0;1;1;1
573;1;1;1;1;1;1;2;3;1
574;1;1;1;1;1;2;1;1;1
575;1;1;1;1;1;NA;1;2;2
576;1;1;1;1;1;NA;1;1;2
577;1;1;1;1;1;NA;1;1;0
578;1;1;1;1;1;2;1;1;1
579;1;1;1;1;1;1;1;0;1
580;1;1;1;1;2;1;1;3;1
581;1;1;1;1;1;1;1;1;0
582;1;1;1;1;1;0;1;1;1
583;1;1;1;1;1;2;1;1;1
584;1;2;2;2;2;2;2;2;2
585;1;1;1;1;1;2;1;1;1
586;1;1;1;1;1;2;1;1;2
587;1;1;1;1;1;0;1;1;3
588;1;1;1;1;1;0;0;3;3
589;1;1;1;1;2;1;1;1;1
590;1;1;1;1;1;2;1;1;1
591;1;1;1;1;1;1;2;3;1
592;1;1;1;1;1;2;3;4;5
593;1;1;1;1;1;2;1;1;1
594;1;1;1;1;1;1;1;1;0
595;1;1;1;1;1;0;1;1;1
596;1;1;1;1;1;1;1;2;2
597;1;1;1;1;1;0;1;1;1
598;1;1;1;1;1;NA;1;2;1
599;1;1;1;1;1;0;1;1;1
600;1;1;1;1;2;NA;1;1;1
