;F2;G1;M1;N1
1220;1;2;1;1
1221;1;0;1;1
1222;1;NA;0;0
1223;1;2;0;0
1224;0;0;1;1
1225;1;2;2;2
1226;0;1;1;0
1227;2;1;1;1
1228;1;2;1;1
1229;1;1;1;2
1230;0;1;1;1
1231;NA;1;2;1
1232;NA;2;1;1
1233;NA;NA;0;1
1234;2;3;1;1
1235;NA;NA;1;0
1236;0;NA;1;NA
1237;1;1;1;2
1238;0;1;1;1
1239;2;1;1;1
1240;NA;1;2;2
1241;NA;0;1;1
1242;1;2;2;2
1243;1;1;0;0
1244;0;1;1;1
1245;1;1;2;2
1246;0;1;1;1
1247;0;0;1;1
1248;1;2;3;3
1249;0;3;1;1
1250;0;3;3;1
1251;1;2;1;1
1252;1;0;1;1
1253;2;1;1;1
1254;1;1;2;3
1255;2;1;1;1
1256;0;1;1;1
1257;NA;0;1;1
1258;NA;2;1;1
1259;NA;2;1;1
1260;NA;1;0;1
1261;2;1;1;1
1262;NA;2;1;3
1263;NA;1;1;0
1264;NA;1;0;NA
1265;1;2;3;1
1266;0;NA;NA;1
1267;1;1;2;2
1268;1;0;NA;NA
1269;1;1;0;0
1270;1;2;1;1
1271;1;2;1;1
1272;0;0;1;1
1273;1;2;1;1
1274;2;NA;1;1
1275;0;1;3;3
1276;0;1;1;1
1277;NA;0;1;1
1278;0;1;1;1
1279;2;1;1;1
1280;2;1;1;1
1281;2;0;1;4
1282;1;2;1;1
1283;2;2;1;2
1284;1;2;1;1
1285;0;1;1;1
1286;NA;1;1;2
1287;NA;0;1;1
1288;1;2;2;2
1289;1;2;1;1
1290;0;1;1;1
1291;2;1;1;1
1292;2;2;1;1
1293;2;2;1;1
1294;NA;NA;1;0
1295;1;2;1;1
1296;1;2;2;2
1297;0;1;1;1
1298;2;1;1;1
1299;NA;2;1;1
1300;0;1;1;1
1301;1;0;1;1
1302;2;1;1;1
1303;0;1;1;1
1304;2;1;1;1
1305;0;1;3;3
1306;1;2;1;1
1307;1;0;1;1
1308;1;0;3;3
1309;1;2;2;2
1310;1;2;2;2
1311;0;1;1;1
1312;1;2;1;1
1313;0;1;1;1
1314;NA;1;1;0
1315;NA;1;0;0
1316;NA;2;1;1
1317;1;0;1;1
1318;1;NA;0;0
1319;2;1;1;1
1320;0;1;1;1
1321;NA;2;1;1
1322;2;1;1;1
1323;1;1;1;2
1324;2;1;1;1
1325;1;2;2;3
1326;1;2;2;2
1327;0;1;1;1
1328;1;1;2;2
1329;1;1;1;0
1330;1;0;1;1
1331;0;1;1;1
