;C1;D;E2;F2;G1;M1;N1
367;1;1;1;2;1;1;1
368;1;1;1;1;2;3;3
369;1;1;1;0;1;0;0
370;1;1;1;1;2;1;1
371;1;1;1;1;2;1;1
372;1;1;1;1;2;3;3
373;1;2;1;2;1;2;1
374;1;2;1;1;1;1;1
375;1;2;3;1;4;5;5
376;1;NA;NA;2;NA;NA;NA
377;1;0;1;1;1;1;1
378;1;NA;2;0;1;4;4
379;1;0;1;0;0;1;0
380;1;1;1;1;2;1;1
381;1;0;0;0;1;1;1
382;1;NA;NA;NA;1;1;2
383;1;0;0;1;1;1;1
384;1;NA;NA;0;1;1;1
385;1;NA;NA;2;1;1;1
386;1;NA;NA;0;1;1;1
387;1;NA;NA;NA;2;1;1
388;1;NA;NA;NA;NA;1;0
389;1;1;1;1;2;2;2
390;1;1;1;1;2;3;4
391;1;1;1;2;3;1;3
392;1;1;1;1;1;2;1
393;1;1;1;1;1;2;1
394;1;1;1;1;2;1;1
395;1;1;1;1;1;1;2
396;1;1;1;1;2;1;1
397;1;1;1;1;1;1;0
398;1;1;1;2;1;1;1
399;1;1;1;1;1;2;3
400;1;1;1;1;0;1;0
401;1;1;1;1;1;2;3
402;1;1;1;1;0;1;1
403;1;1;1;1;1;2;2
404;1;1;1;2;1;1;1
405;1;1;1;0;1;1;1
406;1;1;1;NA;2;2;2
407;1;1;1;0;1;1;1
408;1;1;1;2;1;1;1
409;1;1;1;1;1;2;3
410;1;1;1;1;1;0;0
411;1;1;1;0;0;1;1
412;1;1;1;2;1;2;1
413;1;1;1;2;2;2;2
414;1;1;1;1;0;1;1
415;1;1;1;1;2;2;2
416;1;2;2;2;2;2;2
417;1;1;1;2;1;1;1
418;1;1;1;1;0;1;1
419;1;1;1;2;1;2;2
420;1;1;1;1;1;2;2
421;1;0;1;3;3;0;3
422;1;1;1;1;2;1;1
423;1;1;1;1;1;0;1
424;1;1;1;1;2;1;2
425;1;1;1;0;1;1;1
426;1;1;1;1;1;1;2
427;1;1;1;1;0;3;1
428;1;2;1;1;NA;NA;1
429;1;1;1;1;NA;NA;0
430;1;1;1;1;0;1;1
431;2;1;1;1;NA;1;1
432;1;1;1;1;NA;0;0
433;1;1;1;1;0;1;1
434;1;1;1;1;1;2;2
435;1;1;1;1;1;1;2
436;1;1;1;1;1;1;0
437;1;1;1;1;1;2;3
438;1;1;1;0;1;1;1
439;1;1;2;3;2;2;2
440;1;2;3;3;1;1;1
441;1;1;1;1;1;1;0
442;1;2;2;2;3;1;NA
443;1;1;1;1;0;0;NA
444;1;1;1;1;2;2;NA
445;1;1;1;2;1;1;1
446;1;1;1;1;2;1;1
447;1;1;1;0;1;1;1
448;1;1;1;0;1;1;1
449;1;1;1;NA;1;1;2
450;1;1;1;0;1;1;1
451;1;0;0;0;1;1;1
452;1;NA;NA;NA;0;0;0
453;1;1;2;0;4;1;5
454;1;1;1;0;1;1;1
455;1;1;0;0;1;1;1
456;1;1;1;0;1;1;1
457;1;1;1;2;2;2;2
458;1;2;1;3;1;1;1
459;1;1;1;2;1;1;1
460;1;1;1;1;0;1;1
461;1;1;1;0;1;1;1
