;C1;C2;C3;D;E2;F2
529;1;1;1;1;1;2
530;1;1;1;1;1;2
531;1;1;1;1;1;0
532;1;0;1;0;1;0
533;1;1;1;1;1;0
534;1;1;1;1;1;0
535;1;1;1;1;1;0
536;1;1;1;0;0;NA
537;1;1;1;1;1;2
538;1;2;2;2;2;2
539;1;1;1;1;1;0
540;1;1;1;1;1;0
541;1;1;1;1;1;0
542;1;1;1;1;1;0
543;1;1;1;1;0;1
544;1;1;1;1;1;2
545;1;1;1;1;1;0
546;1;1;1;2;3;NA
547;1;1;1;1;1;2
548;1;1;1;1;1;2
549;1;1;1;1;2;3
550;1;2;2;1;1;2
551;1;1;1;1;1;0
552;1;1;1;2;1;3
553;1;1;1;1;2;1
554;1;1;1;1;1;2
555;1;1;1;1;0;1
556;1;1;1;1;NA;2
557;1;1;1;1;0;0
558;1;2;1;1;NA;NA
559;1;1;1;1;2;1
560;1;1;1;1;1;0
561;1;1;1;1;1;0
562;1;1;0;0;0;0
563;1;2;NA;NA;NA;NA
564;1;1;1;1;0;1
565;1;1;1;1;1;0
566;1;0;0;0;0;0
567;1;1;1;1;1;0
568;1;1;1;0;0;NA
569;1;0;1;1;1;NA
570;1;1;1;2;1;1
571;1;1;1;1;1;0
572;1;1;1;1;1;0
573;1;1;1;2;1;1
574;1;1;1;1;1;0
575;1;1;1;1;0;NA
576;1;1;1;1;1;0
577;1;1;1;1;1;2
578;1;2;1;1;1;1
579;1;1;1;2;1;0
580;1;2;1;2;2;0
581;1;1;1;1;1;0
582;1;1;1;0;0;NA
583;1;1;1;1;2;NA
584;1;1;1;1;1;0
585;1;1;1;1;1;0
586;1;1;1;1;1;0
587;1;2;2;2;3;4
588;1;1;1;1;1;0
589;1;1;1;1;0;0
590;1;1;0;0;0;0
591;1;2;1;2;2;2
592;1;1;1;1;1;2
593;1;1;1;1;1;0
594;1;1;1;1;1;2
595;1;1;1;1;1;2
596;1;1;1;1;1;2
597;1;1;1;1;1;0
598;1;2;1;1;1;1
599;1;1;1;1;1;0
600;1;2;1;2;2;2
601;1;1;1;1;1;0
602;1;1;1;1;1;0
603;1;1;1;1;1;0
604;1;1;1;2;2;1
605;1;1;1;1;1;0
606;1;1;2;1;1;1
607;1;2;1;1;1;1
608;1;1;1;1;1;2
609;1;1;1;1;1;0
610;1;1;1;1;1;2
611;1;1;1;1;1;0
612;1;1;1;1;1;0
613;1;1;1;1;1;0
614;1;1;1;2;2;NA
615;1;1;1;1;0;0
616;1;1;1;1;2;1
617;1;1;1;0;1;0
618;1;1;1;1;0;1
619;1;1;1;1;1;0
620;1;1;1;1;1;0
621;1;1;1;1;1;0
622;1;1;1;1;1;0
623;1;1;1;2;1;NA
624;1;1;1;1;1;2
625;1;1;0;1;1;1
626;1;1;1;1;1;0
627;1;1;1;1;1;0
628;1;2;2;1;1;NA
629;1;2;1;1;1;1
630;1;1;1;1;1;0
631;1;1;1;1;1;0
632;1;1;1;2;2;NA
633;1;1;1;1;1;2
634;1;2;2;1;2;1
635;1;1;1;2;1;1
636;1;1;1;1;1;0
637;1;1;1;1;2;NA
638;1;2;1;1;1;1
639;1;1;1;1;0;1
640;1;1;1;1;1;0
641;1;1;1;1;0;1
642;1;1;1;1;1;2
643;1;1;1;1;1;0
644;1;1;1;1;2;2
645;1;1;1;1;1;0
646;1;1;1;1;2;NA
647;1;1;0;0;0;0
648;1;2;1;1;2;1
649;1;1;1;1;1;2
650;1;1;1;1;1;0
651;1;1;1;1;1;2
652;1;1;1;1;0;1
653;1;1;1;1;0;1
654;1;1;1;1;1;0
655;1;1;1;1;1;0
656;1;1;1;1;0;1
657;1;1;1;1;1;0
658;1;1;1;1;1;2
659;1;1;1;1;1;0
660;1;1;1;1;1;2
661;1;1;1;1;1;0
662;1;1;1;1;1;2
663;1;1;1;1;1;0
664;1;1;1;1;1;2
665;1;2;1;1;1;1
666;1;NA;1;1;1;0
667;1;1;1;1;1;0
668;1;1;1;1;1;0
669;1;1;1;1;2;1
670;1;1;1;1;1;0
671;1;1;1;0;0;0
672;1;1;1;1;1;0
673;1;1;1;2;1;1
674;1;1;1;1;1;2
675;1;1;1;1;1;0
676;1;1;1;1;0;NA
677;1;1;1;1;1;0
678;1;1;1;1;1;0
679;1;1;1;1;1;0
680;1;1;1;0;0;NA
681;1;1;1;2;1;NA
682;1;1;1;1;1;2
683;1;1;1;1;1;0
684;1;1;1;1;0;3
685;1;1;1;1;1;0
686;1;1;1;1;1;0
687;1;1;1;0;1;1
688;1;1;1;1;1;0
689;1;1;1;1;1;2
690;1;1;1;1;1;0
691;1;1;1;1;1;0
692;1;1;1;0;1;1
693;1;1;1;NA;1;2
694;1;1;1;1;1;0
695;1;2;1;1;1;NA
696;1;1;1;1;1;2
697;1;1;1;1;1;2
698;1;1;1;1;1;2
