Graphie du mot Dieu $9

lemme : dieu	Nombres d'occurrences : 195
inobedience	1	
Lemme : maisniee	25	1
mesnie	24	
mesnies	1	
Lemme : nacele	3	1
nacele	2	
naciele	1	
Lemme : clergié	3	1
clergiés	1	
clergié	1	
clergiez	1	

Graphie du mot près

lemme : près	Nombres d'occurrences : 49
pries	3	


Graphie du mot après

lemme : après	Nombres d'occurrences : 176
pries	3	

Graphie du mot apeler

lemme : apeler	Nombres d'occurrences : 108
pries	3	


Graphie du mot arester

lemme : arester	Nombres d'occurrences : 48
pries	3	

§12.1 ellus/os > eaus > iaus

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : bel1	176	7
beaus	95	
beau	22	
beles	22	
bele	21	
bel	9	
biaus	6	
biau	1	
Lemme : chastel	40	4
chastel	30	
chasteaus	5	
chastiaus	4	
chastiel	1	
Lemme : vaissel	33	2
vessel	22	
vesseaus	6	
vaissel	2	
vessiaus	2	
vaisseaus	1	
Lemme : jovencel	69	1
jovenceaus	52	
jovencel	15	
jovenciaus	1	
jovenencel	1	
Lemme : poissonel	1	1
pissonniaus	1	
Lemme : pel2	4	1
pel	2	
piaus	1	
peaus	1	
Lemme : vercelles	1	1
verziaus	1	
Lemme : corbeil	5	1
corbeaus	4	
corbiaus	1	
Lemme : roial2	7	1
roial	6	
roiaus	1	
Lemme : barillet	1	1
barilliaus	1	
Lemme : tonel	5	1
toniel	2	
tonel	2	
toniaus	1	

§12.1 illus > aus

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : corbeil	5	5
corbeaus	4	
corbiaus	1	
Lemme : soleil	10	2
soleil	7	
solauz	2	
soleuz	1	
Lemme : conseil	13	1
conseil	7	
consel	2	
conseus	1	
consauz	1	
conselle	1	
conseuz	1	


§12.3 Etude de la graphie du pronom P3 - pluriel régime

lemme : il	Nombres d'occurrences : 6629
lor	248	
les	231	
eus	113	
leur	11	
li	9	
els	6	
eles	4	
euz	4	
elles	1	
l	1	


§14 melius < mius
lemme : mieus	Nombres d'occurrences : 17
mielz	13	
mius	2	
miuz	2	


