Graphie du mot Dieu
Lemme : dieu	132
Deu	74
Dex	54
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	80
leu	49
leus	18
liu	6
lius	3
lui	2
lieu	1
luies	1

§10 Réduction de e ouvert libre en i
Graphie du mot chastel
Lemme : chastel	29
chastel	23
chasteaus	3
chastiaus	2
chastiel	1

Graphie du mot chevel
Lemme : chevel	6
cheveus	5
chevels	1

particularité pic. idem pour illus/os > aus/iaus
Graphie du mot soleil
Lemme : soleil	9
soleil	7
solauz	2

Graphie du mot conseil
Lemme : conseil	8
conseil	5
conseus	1
consauz	1
consel	1

Etude de la graphie du pronom P3 - pluriel régime
Lemme : il < illos 	365
POS=PROper|PERS.=3|NOMB.=p|GENRE=f|CAS=i
eles	2
elles	1
lor	1
POS=PROper|PERS.=3|NOMB.=p|GENRE=f|CAS=r
les	18
lor	2
POS=PROper|PERS.=3|NOMB.=p|GENRE=m|CAS=i
eus	71
lor	126
euz	2
els	4
leur	3
li	5
POS=PROper|PERS.=3|NOMB.=p|GENRE=m|CAS=r
les	125
euz	1
lor	3
eles	1

§14 melius < miusGraphie du mot mieus
Lemme : mieus	13
mielz	9
mius	2
miuz	2

Confusion graphique an/en, une plus grande propension à fermer la consonne nasale ?mots en anLemme :*ex	13
anima	1
sancto	1

Lemme :-	56
Euvangelium	1

Lemme :Lucain	1
Lucans	1

Lemme :afüir	1
afuiant	1

Lemme :ainçois	12
ançois	6

Lemme :ambedos	9
andui	3

Lemme :aporter	41
aportant	1

Lemme :apovrir	1
apovreant	1

Lemme :ardre	23
ardant	2
ardanz	8

Lemme :astinence	5
abstinance	1

Lemme :benëir	42
beneïssant	1

Lemme :bondir	1
boidissant	1

Lemme :champ	3
chans	1

Lemme :comencier	157
comandastes	1
conmanderent	1
conmanç	1
conmança	1

Lemme :conter	131
contant	2

Lemme :corir	28
courant	1

Lemme :covenir	27
coumanda	1

Lemme :croire	67
creanz	1

Lemme :crïer2	25
criant	2

Lemme :defaille1	1
defaillance	1

Lemme :descendre	11
descendant	1

Lemme :dire	659
disant	3

Lemme :doloir	3
dolant	1
dolanz	1

Lemme :en2	442
an	1

Lemme :enemi	21
anemi	3
anemis	3

Lemme :enoiier	6
anuiassent	1
anuier	1
anuiez	1
anuioit	1

Lemme :enoios	1
annieuse	1

Lemme :enseignier	32
enseignant	1

Lemme :ensemble	175
ensanble	1

Lemme :ensembler	1
anssamblé	1

Lemme :entendre	80
entendans	1

Lemme :enui	1
anuiz	1

Lemme :errement	7
erranment	7

Lemme :errer2	4
errant	3

Lemme :ester	11
estant	3

Lemme :estoper	1
estopanz	1

Lemme :estre1	1982
estant	3

Lemme :faire	635
faisant	1
fesant	1

Lemme :flairier2	1
flairanz	1

Lemme :frenge	1
frange	1

Lemme :fuir	14
fuiant	1

Lemme :haste1	1
hanstes	1

Lemme :jesir	45
gisant	2
gissant	1

Lemme :mescroire	3
mescreanz	1

Lemme :movoir	30
muiant	1

Lemme :müir2	1
muiant	1

Lemme :nonsavoir	1
nonsachanz	1

Lemme :ofrende	2
offrandes	1

Lemme :oir	137
oiant	1

Lemme :penitence	5
peneance	3
penitance	2

Lemme :pensee	24
peneance	2

Lemme :peser	2
pesanz	1

Lemme :plaire	20
plesanz	1

Lemme :plorer	47
plorant	16

Lemme :poindre	5
portanz	1

Lemme :porter	37
portant	1

Lemme :prëechier	36
preecant	1
preechant	2
preeschant	1

Lemme :püir	1
puans	1

Lemme :querre	39
qerant	3
querant	3

Lemme :recomencier	8
recomant	1

Lemme :repentir	5
repentanz	1

Lemme :resplendir	9
resplendissant	2
resplendissanz	1

Lemme :saint	1103
sancto	1

Lemme :semer1	1
semant	1

Lemme :serrer	2
serrant	1

Lemme :sëoir	21
seant	3

Lemme :trebuchier	3
trebuchant	2

Lemme :trespasser	63
trespassanz	1

Lemme :uller1	1
uslanz	1

Lemme :vivre1	47
vivant	3
vivanz	1

Lemme :volenté	52
voellance	1

Lemme :vëoir	303
voiant	1

Lemme :öir	62
oiant	2


mots en enLemme :*ex	13
Benedic	1

Lemme :-	56
Penitentiam	1
condenpnabitur	1
enim	1
renatus	1

Lemme :Aurelius	5
Aurelien	3
Aureliens	2

Lemme :Eufamianus	21
Eufemien	5
Eufemiens	6

Lemme :Jerusalem	6
Nemausense	1

Lemme :Madelaine	1
Magdalene	1

Lemme :aaisier	1
aaisierent	1

Lemme :abatre	21
abatirent	1
abatissent	1

Lemme :abiter	32
habitent	5
habitoient	10

Lemme :achater	5
achatoient	2

Lemme :acomunier	1
acomenier	1

Lemme :aemplir	22
aemplirent	1

Lemme :afichier	1
afichierent	1

Lemme :aidier	24
aidierent	1
aidoient	1

Lemme :ainsi	95
ensi	6
ensint	2

Lemme :aler	268
alassent	6
alerent	18
aloient	7
iroient	1

Lemme :amer1	21
aiment	1
amassent	1
amerent	1
amoient	5

Lemme :an	54
enz	1

Lemme :anacorite	6
enacorinte	1
enacorinthe	1

Lemme :anoncier	21
anoncierent	1

Lemme :aorer2	27
aeuroient	1
aorassent	3
aorent	1
aoroient	5

Lemme :apareillier1	18
apareilloient	1
aparellierent	1
aparelloient	1

Lemme :aparoir	19
aparoient	1
aparurent	3

Lemme :apeler	68
apelent	2
apeloient	1
apieloient	1

Lemme :apert1	2
apertement	2

Lemme :aporter	41
aportassent	1
aporterent	5
aportoient	2

Lemme :aprochier	13
aprochierent	2
aproçoient	1

Lemme :aproismier	17
aproismierent	3

Lemme :ardre	23
arsissent	3

Lemme :arester	39
arrestent	3
arresterent	3
arrestoien	1
arrestoient	3

Lemme :ariver1	4
arriverent	1

Lemme :assalir	1
assailloient	1

Lemme :assembler	67
asamblerent	1
assamblerent	2
assemblassent	2
assemblerent	6
assembloient	2

Lemme :asseoir	16
asistrent	1
assistrent	1

Lemme :assidüel	7
assiduelment	4

Lemme :ataindre	1
ataignoient	1

Lemme :atargier	9
atargierent	1

Lemme :atochier	9
atouçoient	1

Lemme :atorner	20
atornerent	1

Lemme :avoir	1219
aeurent	1
aient	1
aovrirent	1
auroient	3
avoient	112
eüssent	6
orent	21

Lemme :baillier	9
baillierent	1

Lemme :baisier	7
beisierent	1

Lemme :batisier	36
baptirent	1
baptizassent	1
baptizierent	4

Lemme :batre	12
batirent	3
batoient	1

Lemme :blandir	1
blandissoient	1

Lemme :blasmer	9
blasmeroient	1

Lemme :bon	107
boen	2

Lemme :brisier	3
brisierent	2

Lemme :cerchier	4
cerchassent	1
cercherent	1

Lemme :chacier	19
chacierent	1
chaçassent	1
chaçoient	1

Lemme :chanter	24
chantent	1
chanterent	1
chantoient	2

Lemme :chaste	2
chastement	2

Lemme :chastiier	2
chastioient	1

Lemme :chevauchier	1
chevauchierent	1

Lemme :chäeine	7
chaenes	1

Lemme :chëoir	46
cheïrent	8

Lemme :citëain	3
citoien	3

Lemme :clore	3
cloent	1

Lemme :comander	120
comanderent	5
conmanderent	1

Lemme :comant	6
comandement	1

Lemme :combatre	11
combatissent	1

Lemme :combrisier	5
combrisassent	1

Lemme :comparer2	1
comperassent	1

Lemme :complaindre	3
compleinstrent	1

Lemme :comporter	2
comportoient	2

Lemme :conforter	5
confortoient	1

Lemme :conoistre	44
coneüssent	1
conissoient	1
conneüssent	1
conoissent	4
conoissoient	2
conurent	2

Lemme :conte1	26
cuens	17

Lemme :conter	131
conterent	1

Lemme :convertir	16
convertirent	2
convertissent	1
convertissoient	1

Lemme :corir	28
corurent	5

Lemme :corporel	2
corporelment	1

Lemme :couchier	26
couchierent	1
coucierent	2

Lemme :covoitier	10
covoitassent	1

Lemme :covrir	13
covroient	2

Lemme :criembre	16
cremirent	1
cremissent	1
cremoient	2

Lemme :croire	67
creoient	7
creüssent	2
croient	6
crurent	1

Lemme :croistre	8
crurent	1

Lemme :crucefiier	8
crucefierent	6

Lemme :crïer2	25
crierent	1
crioient	3

Lemme :cuidier1	54
cuident	5
cuidierent	3
cuidoient	11

Lemme :daërrain	1
daerrenier	1

Lemme :debrisier	5
debrisassent	1

Lemme :deguerpir	52
deguerpesissent	1
deguerpeïssent	3
deguerpirent	5
deguerpissent	3
deguerpissoient	2

Lemme :demander	53
demandent	1
demanderent	4

Lemme :demorer	38
demoerroient	1
demoroient	1

Lemme :departir	71
departirent	4
departoient	1

Lemme :depecier	13
depeçassent	1

Lemme :derompre	4
derrompirent	1

Lemme :desconfire	2
desconfeïssent	1

Lemme :descorder1	1
descordoient	1

Lemme :desfermer	4
desfermassent	1

Lemme :desirrer	16
desiroient	1
desirrent	1
desirroient	4

Lemme :despire	10
despirent	1
despiroient	1
despisoient	1
desposeroient	1

Lemme :destruire	27
destruisissent	1

Lemme :devoir	113
deveroient	1
devoient	15
devroient	1
doivent	4

Lemme :devorer	1
devoroient	1

Lemme :devorer1	7
deveurent	1
deviserent	2
devoroient	1

Lemme :digne	14
dignement	1
dignemnent	1

Lemme :dire	659
deïssent	1
dient	4
diroient	1
disoient	17
distrent	42

Lemme :doloros	7
dolereusement	2

Lemme :doloser	1
dolousoient	1

Lemme :doner	122
donassent	1
donerent	3
donoient	1

Lemme :donëor	1
veneor	1

Lemme :dormir	7
dormoient	1

Lemme :doter1	4
dotent	1
doutoient	1

Lemme :doter2	11
dotoient	1
doutent	1

Lemme :douz	32
docement	11
doucement	2

Lemme :drecier	2
drecierent	1

Lemme :droit	41
droitement	1

Lemme :däerrain	14
daerrenier	1
daerrenieres	1
daerriene	1

Lemme :dïemanche	5
diemence	5

Lemme :emporter2	12
emporterent	7
emporteroient	1
emportoient	1

Lemme :entr'oblïer	1
entrobliee	1

Lemme :esbäir	16
esbahirent	2
esbahissoient	1

Lemme :escouter	13
escoutoient	3

Lemme :esforcier2	1
efforcierent	1

Lemme :esgarder	26
esgarderent	1
esgardoient	4

Lemme :esjöir	1
esjoïssent	1

Lemme :eslaissier	2
esleeçassent	1

Lemme :eslire	11
eslurent	1

Lemme :esloignier	2
eslongent	1

Lemme :eslëecier	8
esleecierent	1
esleeçassent	1
esleeçoient	1

Lemme :esmerveillier	21
esmerveillierent	4
esmerveilloient	1
esmervellierent	2
esmervelloient	1

Lemme :esmovoir	13
esmurent	4

Lemme :esprover	9
esproverent	1

Lemme :esrachier2	2
enrichissoit	1
esrachassent	1

Lemme :establir	11
establirent	1

Lemme :estre1	1982
erent	14
estoient	242
furent	81
fussent	22
seroient	2
soient	10

Lemme :estreindre	4
estreinstrent	1

Lemme :esvanöir	6
esvanuirent	1

Lemme :esveillier	9
esveillierent	2
revellierent	1

Lemme :etiope	1
Ethyopiens	1

Lemme :faire	635
facent	2
faisoient	6
faissoient	1
feisoient	2
feroient	5
fesoient	5
feïssent	11
firent	29
fissent	1

Lemme :falir	6
faillent	1

Lemme :felon	8
felenesse	1

Lemme :ferir	16
ferirent	1

Lemme :franc1	2
franchement	1

Lemme :fuir	14
enfoïrent	1
enfuioient	1
fuioient	1

Lemme :fïer	2
fioient	1

Lemme :gaber	1
gaboient	1

Lemme :gaitier	7
gaitoient	2
guetent	1
guetoient	1

Lemme :garder	52
gardent	3
garderent	1
gardoient	3

Lemme :gemir	6
gemirent	1
jemissoient	1

Lemme :gerir	26
guerissoient	4

Lemme :geter	2
getoient	1

Lemme :glorefiier	9
gloirefierent	4

Lemme :gracier	2
gracierent	2

Lemme :grever	9
greverent	1
greveroient	1
grevoient	1

Lemme :hanter	3
hantent	1

Lemme :häir	5
haoient	2
haïssent	1
heent	1

Lemme :issir	61
issent	1
issirent	3
issisent	1
issoient	2

Lemme :ivel	5
ivelment	2
ovelment	1

Lemme :jesir	45
gisoient	3

Lemme :jeter	19
geterent	2
gieterent	2

Lemme :jonece	3
jovenece	3

Lemme :joneté	1
joventé	1

Lemme :justicier2	1
justicent	1

Lemme :jëuner	6
jeunoient	1

Lemme :laissier	97
leissent	1
leissoient	1
lessasent	1
lessassent	3
lessent	1
lesseroient	1
lessierent	11
lessoient	1

Lemme :lait1	8
laidement	1

Lemme :lancier3	1
lançoient	1

Lemme :laver	13
lavassent	1
lavoient	1

Lemme :legier2	5
legierement	2

Lemme :lever	41
leverent	3

Lemme :liier3	10
lierent	2

Lemme :lire1	18
leüssent	1

Lemme :löer1	10
loerent	3
looient	1

Lemme :mander	15
manderent	1

Lemme :mangier	55
menga	5
mengeroit	2
mengerons	1
mengier	18
mengierent	2
mengiers	1
mengié	7
mengoie	1
mengoient	2
mengoit	8
menguce	1
mengue	2
menja	1
menjames	1
menjoient	2
menjoit	1

Lemme :manoir1	12
manoient	4

Lemme :metre2	143
metoient	1
meïssent	3
misent	3
mistrent	19

Lemme :moins	6
mendres	1

Lemme :morir	63
morurent	1
morussent	1
muerent	1

Lemme :mostrer	13
mostrerent	1

Lemme :movoir	30
meüssent	3
movoient	1
murent	2

Lemme :mëisme	74
meïsmement	2

Lemme :nagier	2
najoient	1

Lemme :naistre	20
naissent	1
nessent	1

Lemme :net2	2
netement	2

Lemme :noiier2	2
noierent	1

Lemme :noncier1	7
noncierent	3

Lemme :noter2	2
noterent	1

Lemme :nöer1	1
nooient	1

Lemme :ocire	18
oceïssent	1

Lemme :oir	137
oient	1
ooient	4
oïrent	9

Lemme :on	128
en	98

Lemme :oneste	1
honestement	1

Lemme :onorable	2
honorablement	2

Lemme :onorer	6
honorassent	1
honoroient	2
oneroient	1

Lemme :ordoner	1
ordenees	1

Lemme :orgoillir	1
orguellesissent	1

Lemme :orrible	10
oriblement	2

Lemme :oser	30
oserent	5
osoient	2

Lemme :otroiier	19
otroierent	1

Lemme :ovrir	13
ovrirent	1

Lemme :oïr	14
oïrent	2

Lemme :paisible	3
parmenables	1

Lemme :pardoner	10
pardonerent	1

Lemme :parler	106
parlassent	2
parlerent	5
parloient	3

Lemme :parmanable	28
parmenable	22
parmenablement	5

Lemme :partir	42
partirent	6

Lemme :passer1	7
passerent	1
passoient	1

Lemme :perdre	18
perdent	1

Lemme :peschier2	6
peschoient	1

Lemme :plaindre	4
plaignoient	1
pleinstrent	1

Lemme :plaire	20
pleisoient	1

Lemme :plein	26
Pleinement	1
pleinement	10

Lemme :plorer	47
ploroient	5

Lemme :porporter	1
porportoient	1

Lemme :porsivre	1
porsivoient	1

Lemme :porter	37
portent	1
porterent	1
portient	1
portoient	6

Lemme :premier	21
premierement	1

Lemme :priier	105
priierent	2
proiassent	2
proierent	13

Lemme :prinseignier	5
prensignast	1
prensigniez	1
presenterent	1

Lemme :privé1	2
priveement	1

Lemme :proiier	4
prooient	2
proumistrent	1

Lemme :propre	11
proprement	1

Lemme :prëechier	36
preechierent	1
preechoient	2
prenderons	1

Lemme :pëor	39
poorosement	1

Lemme :pöoir	254
Peüssent	1
peüssent	12
peüsssent	1
pooient	13
porent	10
poroient	1
porrent	2
porroient	3
pueent	3
puent	2
puissent	9

Lemme :querre	39
qeroient	4
qeïssent	2
qistrent	2
quisissent	1

Lemme :rachater	6
rachatassent	1

Lemme :raisnier	1
resnierent	1

Lemme :raler	8
ralerent	2

Lemme :raporter	2
raportoient	1

Lemme :raviser	2
ravissent	1

Lemme :ravoir2	4
ravoient	1

Lemme :recevoir	77
recevoient	2
recevroient	1
receüssent	1
recivrent	1
reçurent	1

Lemme :reclamer	2
reclaiment	1
reclamoient	1

Lemme :reconoistre	8
reconurent	1
regnoissoient	1

Lemme :reconter	73
racontent	3
raconterent	3

Lemme :regarder	21
regarderent	3
reporpensés	1

Lemme :rejehir	12
regehissoient	1

Lemme :relever	3
releverent	1

Lemme :religïos	7
religieusement	1

Lemme :remander	3
remanderent	1
rendons	1

Lemme :remanoir	16
ramenoit	1
remena	1
remistrent	1

Lemme :repaire	12
repairassent	1

Lemme :repairier	35
repairierent	3
repairoient	1
repeirierent	3
repeiroient	1

Lemme :repondre	4
reponoient	1

Lemme :reporter	4
reporterent	1
reporteroient	1

Lemme :reposer	5
recoverroient	1

Lemme :requerre	27
reqeroient	1
reqierent	1
requeroient	1

Lemme :resembler	2
parmenablement	1

Lemme :respondre1	88
respondirent	8

Lemme :ressaiier	1
