"","LiSaintAlexis.txt","LiSaintJerome.txt","LiSaintDialogues.txt","LiSaintBenoit.txt","LiSaintBrice.txt","LiSaintGilles.txt","LiSaintNicolas.txt","LiSaintMartin.txt","LiSaintMarcel.txt"
"mandement",-0.0695,-0.0408,-0.3198,0.4075,-0.0232,-0.0746,0.2549,-0.2567,0.3492
"antiocus",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"jherusalem",-0.0142,-0.0083,-0.0655,-0.0441,-0.0048,-0.0153,-0.0722,-0.0526,-0.0528
"corromp",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"afrique",-0.0235,-0.0138,3.9387,-0.073,-0.0079,-0.0253,0.6191,-0.0869,-0.0873
"romun",-0.0099,-0.0058,-0.0453,-0.0306,-0.0033,-0.0106,-0.05,-0.0364,-0.0365
"apendre",-0.046,-0.027,-0.2115,-0.1426,-0.0154,-0.0493,-0.2332,-0.1698,-0.1704
"souduire",-0.0651,-0.0382,-0.2997,-0.202,-0.0218,-0.0699,-0.3304,-0.2406,-0.2415
"covoitos",-0.0197,-0.0116,0.7249,-0.0611,-0.0066,-0.0211,-0.1,-0.0728,-0.073
"baissier",-0.0203,-0.0119,0.7142,-0.0628,-0.0068,-0.0217,-0.1027,-0.0748,-0.0751
"ovrer",0.4223,-0.121,-0.202,0.3638,-0.069,-0.2214,1.944,-0.3214,-0.3232
"florence",-0.0126,-0.0074,-0.0579,-0.039,-0.0042,-0.0135,-0.0639,-0.0465,-0.0467
"avenant",-0.0712,-0.0417,-0.3274,-0.2207,-0.0238,-0.0763,-0.361,-0.2628,-0.2638
"chançon",-0.0657,-0.0385,-0.3022,-0.2037,-0.022,-0.0705,-0.3332,-0.2426,-0.2435
"nobleté",-0.0077,-0.0045,-0.0353,-0.0238,-0.0026,-0.0082,-0.0389,-0.0283,-0.0284
"treste",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"comencement",-0.1067,-0.0626,0.507,-0.3311,-0.0357,-0.1145,-0.5415,-0.3942,0.2234
"crestïenté",-0.0832,-0.0488,-0.3828,-0.2581,-0.0278,-0.0893,0.2065,-0.3073,-0.3084
"estorer",-0.0378,1.3034,0.4818,2.5905,-0.0126,-0.0405,0.4477,-0.1395,-0.14
"chierté",-0.0159,-0.0093,-0.073,-0.0492,-0.0053,-0.017,0.7715,-0.0586,-0.0588
"neque",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"destiner",-0.0241,-0.0141,-0.1108,-0.0747,-0.0081,-0.0258,-0.1222,-0.089,-0.0893
"voler",-0.2074,-0.1217,-0.9545,0.3612,-0.0694,-0.2226,-1.0524,-0.324,0.2776
"entr'encontrer",-0.0104,-0.0061,-0.0478,-0.0323,-0.0035,-0.0112,-0.0528,-0.0384,-0.0386
"senefïance",-0.0542,-0.0318,-0.2493,-0.1681,-0.0181,-0.0581,-0.2749,-0.2001,-0.2009
"mortalité",-0.0044,-0.0026,-0.0201,-0.0136,-0.0015,-0.0047,-0.0222,-0.0162,-0.0162
"letré1",-0.0197,-0.0116,-0.0907,-0.0611,-0.0066,-0.0211,-0.1,-0.0728,-0.073
"florance",-0.0011,-6e-04,-0.005,-0.0034,-4e-04,-0.0012,-0.0056,-0.004,-0.0041
"noblete",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
"letré",-0.0022,-0.0013,-0.0101,-0.0068,-7e-04,-0.0023,-0.0111,-0.0081,-0.0081
"estoile",-0.0586,-0.0344,-0.2695,-0.1817,-0.0196,0.8706,-0.2971,-0.2163,-0.2171
"harne",-0.0274,-0.0161,-0.1259,-0.0849,-0.0092,-0.0294,-0.1388,-0.1011,-0.1015
"enluminer",-0.0772,1.0044,-0.3551,-0.2394,-0.0258,1.7982,-0.3915,0.3176,0.8514
"flor1",-0.1719,-0.1008,-0.3396,-0.5331,-0.0575,-0.1844,-0.3927,-0.6348,-0.6372
"vair1",-0.0569,-0.0334,-0.2619,-0.1766,-0.019,-0.0611,-0.2888,-0.2102,-0.211
"colorer",-0.0175,-0.0103,-0.0806,-0.0543,-0.0059,-0.0188,-0.0889,-0.0647,-0.0649
"menton",-0.0438,-0.0257,-0.2015,-0.1358,-0.0146,-0.047,-0.2221,-0.1617,-0.1623
"former",-0.104,-0.061,-0.4785,-0.3226,-0.0348,-0.1116,-0.5276,0.2313,1.2212
"contentle",-0.0016,-0.001,-0.0076,-0.0051,-5e-04,-0.0018,-0.0083,-0.0061,-0.0061
"freille",-0.0022,-0.0013,-0.0101,-0.0068,-7e-04,-0.0023,-0.0111,-0.0081,-0.0081
"escïent",-0.1374,-0.0806,-0.6321,-0.4262,-0.0459,-0.1474,-0.697,0.488,-0.5093
"chaisnel",-0.0022,-0.0013,-0.0101,-0.0068,-7e-04,-0.0023,-0.0111,-0.0081,-0.0081
"trecier2",-0.0049,-0.0029,-0.0227,-0.0153,-0.0016,-0.0053,-0.025,-0.0182,-0.0183
"galoper",-0.0088,-0.0051,-0.0403,-0.0272,-0.0029,-0.0094,-0.0444,-0.0323,-0.0325
"hasteler",-5e-04,-3e-04,-0.0025,-0.0017,-2e-04,-6e-04,-0.0028,-0.002,-0.002
